tag_parent_type,tag_interest,tag_urgency,recommended_magazine,recommended_guide,recommended_product,email_template_id
ptype_anxiety,interest_emotion,urgency_high,magazine_emotion_01,guide_emotion_02,product_coaching_01,email_result_a
ptype_anxiety,interest_emotion,urgency_mid,magazine_emotion_01,guide_emotion_01,product_coaching_01,email_result_a
ptype_anxiety,interest_emotion,urgency_low,magazine_emotion_01,guide_emotion_01,product_entry_01,email_result_a
ptype_control,interest_habit,urgency_high,magazine_habit_01,guide_habit_02,product_routine_01,email_result_b
ptype_control,interest_habit,urgency_mid,magazine_habit_01,guide_habit_01,product_routine_01,email_result_b
ptype_control,interest_habit,urgency_low,magazine_habit_01,guide_habit_01,product_entry_02,email_result_b
ptype_empathy,interest_study,urgency_high,magazine_study_01,guide_study_02,product_study_01,email_result_c
ptype_empathy,interest_study,urgency_mid,magazine_study_01,guide_study_01,product_study_01,email_result_c
ptype_empathy,interest_study,urgency_low,magazine_study_01,guide_study_01,product_entry_03,email_result_c
ptype_avoidant,interest_relationship,urgency_high,magazine_relationship_01,guide_relationship_02,product_relationship_01,email_result_c
ptype_avoidant,interest_relationship,urgency_mid,magazine_relationship_01,guide_relationship_01,product_relationship_01,email_result_c
ptype_avoidant,interest_relationship,urgency_low,magazine_relationship_01,guide_relationship_01,product_entry_04,email_result_c
ptype_mixed,interest_emotion,urgency_high,magazine_emotion_02,guide_emotion_02,product_coaching_01,email_result_a
ptype_mixed,interest_habit,urgency_mid,magazine_habit_02,guide_habit_01,product_routine_01,email_result_b
ptype_mixed,interest_study,urgency_low,magazine_study_02,guide_study_01,product_entry_03,email_result_c
ptype_unknown,interest_unknown,urgency_low,magazine_default_01,guide_default_01,product_default_01,email_result_c
